,BSK_3C_Vis_down,BSK_3C_uPAR_down,BSK_3C_HLADR_down,OT_AR_ARELUC_AG_1440,OT_ERa_EREGFP_0120,OT_ERa_EREGFP_0480
OT_PPARg_PPARgSRC1_0480,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
OT_NURR1_NURR1RXRa_1440,0.12086772918701172,0.11667291074991226,0.12324883788824081,0.10399417579174042,0.1375291794538498,0.13225620985031128
OT_NURR1_NURR1RXRa_0480,0.0954301655292511,0.09513401985168457,0.1000814437866211,0.10000000149011612,0.0501079298555851,0.16780510544776917
OT_FXR_FXRSRC1_1440,0.06314101070165634,0.060602910816669464,0.05489614978432655,0.18654149770736694,0.01497028861194849,0.17605817317962646
OT_PPARg_PPARgSRC1_1440,0.04987019672989845,0.051827069371938705,0.054691072553396225,0.10000000149011612,0.04731828346848488,0.029673200100660324
OT_FXR_FXRSRC1_0480,0.09632543474435806,0.08780338615179062,0.07599058002233505,0.19648683071136475,0.0999850481748581,0.1171255111694336
OT_ER_ERbERb_0480,0.17843271791934967,0.1722634881734848,0.16819478571414948,0.2540091872215271,0.17757463455200195,0.4688866138458252
OT_ER_ERaERb_1440,0.17843271791934967,0.1722634881734848,0.16819478571414948,0.2540091872215271,0.17757463455200195,0.4688866138458252
OT_ER_ERaERb_0480,0.17843271791934967,0.1722634881734848,0.16819478571414948,0.2540091872215271,0.17757463455200195,0.4688866138458252
OT_ER_ERaERa_1440,0.14308497309684753,0.13966786861419678,0.16256101429462433,0.13858556747436523,0.17430917918682098,0.45634254813194275
OT_ER_ERaERa_0480,0.14308497309684753,0.13966786861419678,0.16256101429462433,0.13858556747436523,0.17430917918682098,0.45634254813194275
OT_ER_ERbERb_1440,0.16565987467765808,0.160127192735672,0.1581823229789734,0.255016565322876,0.16379809379577637,0.4683948755264282
