,TOX21_ERR_viability,ACEA_ER_80hr,TOX21_CAR_Agonist_viabillity,TOX21_PR_BLA_Agonist_viability,TOX21_RT_HEPG2_FLO_40hr_ctrl_viability,TOX21_AhR_LUC_Agonist_viability,TOX21_p53_BLA_p3_viability
ATG_Sox_CIS_up,0.10468544065952301,0.14388173818588257,0.10000000149011612,0.10000000149011612,0.12986823916435242,0.10000000149011612,0.10000000149011612
TOX21_TSHR_Agonist_ratio,0.13640263676643372,0.25516799092292786,0.18198511004447937,0.09968338161706924,0.10634832084178925,0.0925995334982872,0.09867039322853088
TOX21_ERa_BLA_Agonist_ratio,0.06558170914649963,0.27091702818870544,0.0695897713303566,0.13914361596107483,0.038900915533304214,0.10221558809280396,0.11463922262191772
TOX21_ERa_LUC_VM7_Agonist,0.07135225832462311,0.5076571702957153,0.06975831836462021,0.15831992030143738,-0.030676472932100296,0.10989414900541306,0.1269574910402298
ATG_E2F_CIS_up,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
ATG_BRE_CIS_dn,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
ATG_CAR_TRANS_dn,0.09820239245891571,0.10597670078277588,0.10339623689651489,0.08061165362596512,0.07114899903535843,0.0916404128074646,0.08703017979860306
ATG_LXRb_TRANS_dn,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
TOX21_RAR_LUC_Antagonist,0.13419672846794128,0.3160697817802429,0.18897204101085663,0.09572307020425797,0.13921140134334564,0.09488324820995331,0.0980493426322937
TOX21_ARE_BLA_agonist_ratio,0.1423211395740509,0.4202609658241272,0.21366989612579346,0.1050955057144165,0.1664896011352539,0.09261813759803772,0.09190723299980164
ATG_TGFb_CIS_up,0.09737895429134369,0.12121260166168213,0.14134913682937622,0.10000000149011612,0.11747407913208008,0.10000000149011612,0.10000000149011612
ATG_Sp1_CIS_up,0.11118095368146896,0.2059142142534256,0.15996041893959045,0.08618751168251038,0.10019619017839432,0.09072662889957428,0.09266255795955658
ATG_Sox_CIS_dn,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
ATG_ERa_TRANS_up,0.05482904613018036,0.6973608136177063,0.015437047928571701,0.16070786118507385,0.34354087710380554,0.11036013811826706,0.1282191425561905
ATG_NRF1_CIS_up,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
ATG_CAR_TRANS_up,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
ATG_E2F_CIS_dn,0.09750635176897049,0.11578436195850372,0.13997790217399597,0.10000000149011612,0.11125407367944717,0.10000000149011612,0.10000000149011612
ATG_NURR1_TRANS_up,0.09696134179830551,0.10477931052446365,0.10628650337457657,0.08337748050689697,0.06945887207984924,0.09402894228696823,0.08683734387159348
ATG_ERa_TRANS_dn,0.09368354827165604,0.10000000149011612,0.10329794138669968,0.08111406862735748,0.06680399924516678,0.09185294061899185,0.08736233413219452
ATG_ERE_CIS_up,0.05555127188563347,0.6836696267127991,0.010633022524416447,0.1600915491580963,-0.052432045340538025,0.11023159325122833,0.1278678923845291
ATG_EGR_CIS_up,0.1292465180158615,0.1761644333600998,0.16768650710582733,0.09607059508562088,0.07721889764070511,0.09361915290355682,0.09326634556055069
ATG_GLI_CIS_dn,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
ATG_GRE_CIS_up,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
ATG_LXRa_TRANS_dn,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
ATG_LXRa_TRANS_up,0.02000989019870758,-0.25294092297554016,0.07777684181928635,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
ATG_FXR_TRANS_dn,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
